YEAR,TERM,UNDERGRAD_HEADCOUNT,GRADUATE_HEADCOUNT,PROFESSIONAL_HEADCOUNT,TOTAL_HEADCOUNT,FEMALE_HEADCOUNT,MALE_HEADCOUNT
2026,SPRING,21470,9140,2553,33163,20056,13077
2025,SPRING,20233,8821,2064,31118,18858,12241
2025,SUMM_1,5691,1864,764,8319,5566,2747
2025,SUMM_2,3482,580,96,4158,2574,1584
2025,FALL,22007,9549,2543,34099,20592,13481
2024,SPRING,20050,8736,2472,31258,18981,12253
2024,SUMM_1,5529,1522,798,7849,5096,2748
2024,SUMM_2,3539,610,189,4338,2581,1755
2024,FALL,20885,9062,2491,32438,19600,12808
2023,SPRING,19486,8916,2494,30896,18551,12323
2023,SUMM_1,5576,1800,749,8125,5263,2856
2023,SUMM_2,3487,748,257,4492,2694,1792
2023,FALL,20681,9073,2480,32234,19498,12713
2022,SPRING,19161,9017,2480,30658,18379,12265
2022,SUMM_1,5230,1969,761,7960,5150,2801
2022,SUMM_2,3489,726,159,4374,2564,1806
2022,FALL,20029,9182,2494,31705,19095,12586
2021,SPRING,18451,8403,2473,29327,17372,11936
2021,SUMM_1,4857,1859,787,7503,4813,2683
2021,SUMM_2,3831,996,63,4890,2916,1972
2021,FALL,19845,9313,2483,31641,18880,12745
2020,SPRING,18525,7939,2471,28935,16983,11938
2020,SUMM_1,6539,1594,685,8818,5479,3333
2020,SUMM_2,5260,844,66,6170,3646,2522
2020,FALL,19395,8214,2483,30092,17744,12331
2019,SPRING,18538,8090,2470,29098,16938,12150
2019,SUMM_1,4704,1987,741,7432,4599,2830
2019,SUMM_2,3445,997,80,4522,2587,1934
2019,FALL,19154,8245,2478,29877,17487,12375
2018,SPRING,18240,8268,2506,29014,16716,12289
2018,SUMM_1,4464,1832,790,7086,4300,2781
2018,SUMM_2,3422,1206,80,4708,2646,2059
2018,FALL,19117,8417,2477,30011,17442,12559
2017,SPRING,17847,8132,2512,28491,16346,12145
2017,SUMM_1,4442,1560,774,6776,4113,2663
2017,SUMM_2,3622,1142,80,4844,2642,2202
2017,FALL,18862,8531,2518,29911,17173,12735
2016,SPRING,17730,7999,2550,28279,16150,12129
2016,SUMM_1,4755,1861,942,7558,4364,3194
2016,SUMM_2,3669,1279,96,5044,2714,2330
2016,FALL,18522,8430,2516,29468,16827,12641