Time,YEAR,MONTH,North Carolina Tar Heels baseball,unc baseball,carolina baseball,north carolina baseball,unc baseball schedule,unc baseball score,unc baseball roster,tar heels baseball,TOTAL_QUERIES
1/1/2008,2008,1,0,0,0,0,0,0,0,0,0
2/1/2008,2008,2,0,0,23,0,0,0,0,0,23
3/1/2008,2008,3,15,0,21,0,0,0,0,0,36
4/1/2008,2008,4,0,0,0,0,0,0,0,0,0
5/1/2008,2008,5,0,0,23,0,0,0,0,0,23
6/1/2008,2008,6,23,20,36,0,0,0,0,0,79
7/1/2008,2008,7,0,0,16,0,0,0,0,0,16
8/1/2008,2008,8,0,0,12,0,0,0,0,0,12
9/1/2008,2008,9,0,0,0,0,0,0,0,0,0
10/1/2008,2008,10,0,0,0,0,0,0,0,0,0
11/1/2008,2008,11,0,0,0,0,0,0,0,0,0
12/1/2008,2008,12,0,0,12,0,0,0,0,0,12
1/1/2009,2009,1,0,0,0,0,0,0,0,0,0
2/1/2009,2009,2,0,0,25,0,0,0,0,0,25
3/1/2009,2009,3,0,0,19,0,0,0,0,0,19
4/1/2009,2009,4,0,0,15,0,0,0,0,0,15
5/1/2009,2009,5,0,0,20,0,0,0,0,0,20
6/1/2009,2009,6,0,0,20,0,0,0,0,0,20
7/1/2009,2009,7,0,0,9,9,0,0,0,0,18
8/1/2009,2009,8,0,0,0,0,0,0,0,0,0
9/1/2009,2009,9,0,0,0,0,0,0,0,0,0
10/1/2009,2009,10,0,0,0,0,0,0,0,0,0
11/1/2009,2009,11,0,0,0,0,0,0,0,0,0
12/1/2009,2009,12,0,0,0,0,0,0,0,0,0
1/1/2010,2010,1,0,0,0,0,0,0,0,0,0
2/1/2010,2010,2,0,0,0,0,0,0,0,0,0
3/1/2010,2010,3,0,0,12,0,0,0,0,0,12
4/1/2010,2010,4,0,0,12,0,0,0,0,0,12
5/1/2010,2010,5,0,0,13,0,0,0,0,0,13
6/1/2010,2010,6,8,0,38,0,0,0,0,0,46
7/1/2010,2010,7,0,0,24,0,0,0,0,0,24
8/1/2010,2010,8,0,0,13,0,0,0,0,0,13
9/1/2010,2010,9,0,0,10,0,0,0,0,0,10
10/1/2010,2010,10,0,0,0,0,0,0,0,0,0
11/1/2010,2010,11,0,0,13,0,0,0,0,0,13
12/1/2010,2010,12,0,0,8,0,0,0,0,0,8
1/1/2011,2011,1,0,0,9,0,0,0,0,0,9
2/1/2011,2011,2,0,0,15,0,0,0,0,0,15
3/1/2011,2011,3,0,0,24,5,0,0,0,0,29
4/1/2011,2011,4,0,0,20,0,0,0,0,0,20
5/1/2011,2011,5,0,6,18,0,0,0,0,0,24
6/1/2011,2011,6,7,0,41,0,0,0,0,0,48
7/1/2011,2011,7,0,0,31,0,0,0,0,0,31
8/1/2011,2011,8,0,0,16,0,0,0,0,0,16
9/1/2011,2011,9,0,0,10,0,0,0,0,0,10
10/1/2011,2011,10,0,0,9,0,0,0,0,0,9
11/1/2011,2011,11,0,0,10,0,0,0,0,0,10
12/1/2011,2011,12,0,0,12,0,0,0,0,0,12
1/1/2012,2012,1,0,0,14,0,0,0,0,0,14
2/1/2012,2012,2,0,0,24,0,0,0,0,0,24
3/1/2012,2012,3,6,6,29,6,0,0,0,0,47
4/1/2012,2012,4,7,0,26,0,0,0,0,0,33
5/1/2012,2012,5,12,18,30,0,0,0,0,0,60
6/1/2012,2012,6,19,24,62,0,0,0,0,0,105
7/1/2012,2012,7,10,6,21,0,0,0,0,0,37
8/1/2012,2012,8,0,7,20,0,0,0,0,0,27
9/1/2012,2012,9,0,0,12,0,0,0,0,0,12
10/1/2012,2012,10,0,0,14,7,0,0,0,0,21
11/1/2012,2012,11,0,0,14,0,0,0,0,0,14
12/1/2012,2012,12,6,6,13,0,0,0,0,0,25
1/1/2013,2013,1,0,0,16,0,0,0,0,0,16
2/1/2013,2013,2,11,10,28,0,0,0,0,0,49
3/1/2013,2013,3,14,10,33,9,0,0,0,0,66
4/1/2013,2013,4,8,8,25,0,0,0,0,0,41
5/1/2013,2013,5,11,11,24,0,0,0,0,0,46
6/1/2013,2013,6,18,22,36,13,0,0,0,0,89
7/1/2013,2013,7,0,9,16,0,0,0,0,0,25
8/1/2013,2013,8,0,0,14,0,0,0,0,0,14
9/1/2013,2013,9,0,0,9,0,0,0,0,0,9
10/1/2013,2013,10,0,0,8,0,0,0,0,0,8
11/1/2013,2013,11,0,0,15,0,0,0,0,0,15
12/1/2013,2013,12,7,0,8,0,0,0,0,0,15
1/1/2014,2014,1,0,0,15,7,0,0,0,0,22
2/1/2014,2014,2,0,0,15,0,0,0,0,0,15
3/1/2014,2014,3,8,8,34,0,0,0,0,0,50
4/1/2014,2014,4,0,0,17,0,0,0,0,0,17
5/1/2014,2014,5,0,0,20,0,0,0,0,0,20
6/1/2014,2014,6,0,0,17,0,0,0,0,0,17
7/1/2014,2014,7,0,0,11,0,0,0,0,0,11
8/1/2014,2014,8,0,0,0,0,0,0,0,0,0
9/1/2014,2014,9,0,0,0,0,0,0,0,0,0
10/1/2014,2014,10,0,0,0,0,0,0,0,0,0
11/1/2014,2014,11,0,0,8,0,0,0,0,0,8
12/1/2014,2014,12,0,0,17,0,0,0,0,0,17
1/1/2015,2015,1,0,0,10,0,0,0,0,0,10
2/1/2015,2015,2,0,0,18,0,0,0,0,0,18
3/1/2015,2015,3,0,0,13,0,0,0,0,0,13
4/1/2015,2015,4,0,0,19,0,0,0,0,0,19
5/1/2015,2015,5,0,0,17,0,0,0,0,0,17
6/1/2015,2015,6,0,0,0,0,0,0,0,0,0
7/1/2015,2015,7,0,0,0,0,0,0,0,0,0
8/1/2015,2015,8,0,0,0,0,0,0,0,0,0
9/1/2015,2015,9,0,0,0,0,0,0,0,0,0
10/1/2015,2015,10,0,0,14,0,0,0,0,0,14
11/1/2015,2015,11,0,0,0,0,0,0,0,0,0
12/1/2015,2015,12,0,0,9,0,0,0,0,0,9
1/1/2016,2016,1,0,0,0,9,0,0,0,0,9
2/1/2016,2016,2,0,0,16,0,0,0,0,0,16
3/1/2016,2016,3,0,0,17,0,0,0,0,0,17
4/1/2016,2016,4,0,0,19,0,0,0,0,0,19
5/1/2016,2016,5,16,13,25,10,0,0,0,0,64
6/1/2016,2016,6,0,0,53,0,0,0,0,0,53
7/1/2016,2016,7,0,0,31,0,0,0,0,0,31
8/1/2016,2016,8,0,0,12,0,0,0,0,0,12
9/1/2016,2016,9,0,0,0,0,0,0,0,0,0
10/1/2016,2016,10,0,0,18,0,0,0,0,0,18
11/1/2016,2016,11,0,0,14,0,0,0,0,0,14
12/1/2016,2016,12,0,0,0,0,0,0,0,0,0
1/1/2017,2017,1,0,0,12,0,0,0,0,0,12
2/1/2017,2017,2,0,11,23,0,0,0,0,0,34
3/1/2017,2017,3,0,10,31,0,0,0,0,0,41
4/1/2017,2017,4,0,0,25,0,0,0,0,0,25
5/1/2017,2017,5,0,0,19,0,0,0,0,0,19
6/1/2017,2017,6,0,0,0,0,0,0,0,0,0
7/1/2017,2017,7,0,0,0,0,0,0,0,0,0
8/1/2017,2017,8,3,2,6,2,0,0,0,0,13
9/1/2017,2017,9,2,1,4,1,0,0,0,0,8
10/1/2017,2017,10,3,2,5,2,0,0,0,0,12
11/1/2017,2017,11,3,2,5,2,0,0,0,0,12
12/1/2017,2017,12,3,2,5,1,0,0,0,0,11
1/1/2018,2018,1,2,1,5,1,0,0,0,0,9
2/1/2018,2018,2,4,3,9,2,0,0,0,0,18
3/1/2018,2018,3,4,3,10,2,0,0,0,0,19
4/1/2018,2018,4,5,4,9,3,0,0,0,0,21
5/1/2018,2018,5,4,4,12,2,0,0,0,0,22
6/1/2018,2018,6,9,8,15,5,0,0,0,0,37
7/1/2018,2018,7,2,1,4,2,0,0,0,0,9
8/1/2018,2018,8,1,2,3,1,0,0,0,0,7
9/1/2018,2018,9,2,1,3,1,0,0,0,0,7
10/1/2018,2018,10,1,1,4,1,0,0,0,0,7
11/1/2018,2018,11,1,2,3,2,0,0,0,0,8
12/1/2018,2018,12,2,1,3,1,0,0,0,0,7
1/1/2019,2019,1,2,1,4,1,0,0,0,0,8
2/1/2019,2019,2,3,3,9,2,0,0,0,0,17
3/1/2019,2019,3,5,5,12,3,0,0,0,0,25
4/1/2019,2019,4,4,3,9,2,0,0,0,0,18
5/1/2019,2019,5,6,6,12,3,0,0,0,0,27
6/1/2019,2019,6,6,6,13,3,0,0,0,0,28
7/1/2019,2019,7,3,3,6,0,0,0,0,0,12
8/1/2019,2019,8,0,0,0,0,0,0,0,0,0
9/1/2019,2019,9,0,0,5,0,0,0,0,0,5
10/1/2019,2019,10,0,0,5,0,0,0,0,0,5
11/1/2019,2019,11,0,0,0,0,0,0,0,0,0
12/1/2019,2019,12,0,0,5,0,0,0,0,0,5
1/1/2020,2020,1,0,0,0,0,0,0,0,0,0
2/1/2020,2020,2,7,5,12,0,0,0,0,0,24
3/1/2020,2020,3,6,0,5,0,0,0,0,0,11
4/1/2020,2020,4,0,0,0,0,0,0,0,0,0
5/1/2020,2020,5,0,0,3,0,0,0,0,0,3
6/1/2020,2020,6,0,2,7,2,0,0,0,0,11
7/1/2020,2020,7,0,0,3,0,0,0,0,2,5
8/1/2020,2020,8,0,0,5,0,0,0,0,0,5
9/1/2020,2020,9,2,0,4,0,0,0,0,2,8
10/1/2020,2020,10,0,0,3,0,0,0,0,0,3
11/1/2020,2020,11,0,0,2,0,0,0,0,0,2
12/1/2020,2020,12,0,0,3,0,0,0,0,0,3
1/1/2021,2021,1,0,0,3,0,0,0,0,0,3
2/1/2021,2021,2,4,3,11,2,0,0,0,0,20
3/1/2021,2021,3,3,5,19,3,0,0,0,0,30
4/1/2021,2021,4,2,3,21,0,0,0,0,0,26
5/1/2021,2021,5,3,2,16,3,0,0,0,0,24
6/1/2021,2021,6,3,0,13,3,0,0,0,0,19
7/1/2021,2021,7,0,0,5,0,0,0,0,0,5
8/1/2021,2021,8,0,0,5,2,0,0,0,0,7
9/1/2021,2021,9,0,0,3,0,0,0,0,0,3
10/1/2021,2021,10,0,0,7,0,0,0,0,0,7
11/1/2021,2021,11,0,0,4,0,0,0,0,0,4
12/1/2021,2021,12,0,0,3,0,0,0,0,0,3
1/1/2022,2022,1,0,0,2,0,0,0,0,0,2
2/1/2022,2022,2,5,6,11,0,0,0,0,0,22
3/1/2022,2022,3,6,5,20,3,0,0,0,0,34
4/1/2022,2022,4,4,5,16,4,0,0,0,0,29
5/1/2022,2022,5,8,7,12,3,0,0,0,0,30
6/1/2022,2022,6,14,11,25,8,0,0,0,0,58
7/1/2022,2022,7,2,1,6,2,0,0,0,0,11
8/1/2022,2022,8,1,1,6,2,0,0,0,0,10
9/1/2022,2022,9,2,1,5,1,0,0,0,0,9
10/1/2022,2022,10,1,1,5,1,0,0,0,0,8
11/1/2022,2022,11,2,2,5,1,0,0,0,0,10
12/1/2022,2022,12,2,2,4,1,0,0,0,0,9
1/1/2023,2023,1,2,2,7,2,0,0,0,0,13
2/1/2023,2023,2,6,6,17,2,0,0,0,0,31
3/1/2023,2023,3,7,7,27,3,0,0,0,0,44
4/1/2023,2023,4,7,5,30,3,0,0,0,0,45
5/1/2023,2023,5,10,8,26,4,0,0,0,0,48
6/1/2023,2023,6,4,3,27,3,0,0,0,0,37
7/1/2023,2023,7,0,1,6,1,0,0,0,0,8
8/1/2023,2023,8,1,1,6,2,0,0,0,0,10
9/1/2023,2023,9,2,2,7,2,0,0,0,0,13
10/1/2023,2023,10,2,2,6,1,0,0,0,0,11
11/1/2023,2023,11,2,1,7,1,0,0,0,0,11
12/1/2023,2023,12,1,1,4,1,0,0,0,0,7
1/1/2024,2024,1,2,1,8,0,0,0,0,0,11
2/1/2024,2024,2,8,9,24,4,0,0,0,0,45
3/1/2024,2024,3,7,8,25,4,0,0,0,0,44
4/1/2024,2024,4,7,6,22,4,0,0,0,0,39
5/1/2024,2024,5,8,7,44,5,0,0,0,0,64
6/1/2024,2024,6,38,32,47,24,0,0,0,1,142
7/1/2024,2024,7,2,2,8,3,0,0,0,0,15
8/1/2024,2024,8,1,2,7,2,0,0,0,0,12
9/1/2024,2024,9,2,2,8,2,0,0,0,0,14
10/1/2024,2024,10,1,2,5,1,0,0,0,0,9
11/1/2024,2024,11,2,3,7,1,0,0,0,0,13
12/1/2024,2024,12,2,3,5,2,0,0,0,0,12
1/1/2025,2025,1,3,3,8,2,0,0,0,0,16
2/1/2025,2025,2,12,14,26,5,0,0,0,0,57
3/1/2025,2025,3,12,11,34,5,0,0,0,1,63
4/1/2025,2025,4,11,12,27,6,0,0,0,1,57
5/1/2025,2025,5,19,17,32,10,0,0,0,1,79
6/1/2025,2025,6,20,19,100,11,0,0,0,1,151
7/1/2025,2025,7,1,2,10,2,0,0,0,0,15
8/1/2025,2025,8,2,2,11,2,0,0,0,0,17
9/1/2025,2025,9,1,3,8,1,0,0,0,0,13
10/1/2025,2025,10,2,2,8,2,0,0,0,0,14
11/1/2025,2025,11,2,3,9,2,0,0,0,0,16
12/1/2025,2025,12,1,2,6,2,0,0,0,0,11
1/1/2026,2026,1,2,4,9,1,0,0,0,0,16
2/1/2026,2026,2,12,13,32,6,0,0,0,0,63
3/1/2026,2026,3,11,10,32,5,0,0,0,0,58
